store_name,city,zip_code,store_location,county,category_name,vendor_name,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,year,month,day,day_of_week
sam's club,windsor heights,50311,POINT (-93.718027 41.599172),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,120,3256.8,90.0,23.78,2014,3,18,1
sid's beverage shop,dubuque,52003,POINT (-90.705328 42.491862),dubuque,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,18,488.34,13.5,3.57,2013,10,30,2
wal-mart,mason city,50401,POINT (-93.261648 43.148239),cerro gordo,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,18,488.34,13.5,3.57,2012,11,26,0
fareway stores,perry,50220,POINT (-94.103123 41.838522),boone,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,15,0
super saver iv,council bluffs,51503,POINT (-95.836515 41.270824),pottawattamie,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,2,1
walgreens,urbandale,50322,POINT (-93.736543 41.644387),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,12,20,3
fareway stores,clive,50325,POINT (-93.756489 41.600511),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,120,3255.6,90.0,23.78,2012,12,20,3
hy-vee,marion,50129,POINT (-91.582229 42.033186),linn,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,1,3
costco wholesale,coralville,52241,POINT (-91.61494100000002 41.698028),johnson,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,120,3256.8,90.0,23.78,2014,4,3,3
central city,des moines,50314,POINT (-93.613739 41.60572),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2014,7,28,0
hy-vee,davenport,52807,POINT (-90.548919 41.55678100000001),scott,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,150,4071.0,112.5,29.72,2014,8,13,2
u s gas,des moines,50315,POINT (-93.625682 41.557862),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,15,3
casey's general store,ogden,50212,POINT (-94.028392 42.03201),boone,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,18,488.34,13.5,3.57,2012,12,3,0
hy-vee,des moines,50320,POINT (-93.596754 41.554101),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,150,4071.0,112.5,29.72,2014,4,14,0
central city,des moines,50314,POINT (-93.613739 41.60572),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,18,488.34,13.5,3.57,2013,6,3,0
sam's club,dubuque,52002,POINT (-90.737821 42.515289),dubuque,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,60,1628.4,45.0,11.89,2016,4,26,1
hy-vee,charles city,50616,POINT (-92.67556000000002 43.066993),floyd,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,12,17,0
hy-vee,cedar rapids,52402,POINT (-91.668909 42.034799),linn,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,10,2
hy-vee,sioux city,51106,POINT (-96.346969 42.447396),woodbury,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,18,488.52,13.5,3.57,2017,12,20,2
hy-vee,west des moines,50265,POINT (-93.773557 41.561197),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,120,3255.6,90.0,23.78,2012,12,12,2
fareway stores,west des moines,50265,POINT (-93.70689 41.58269000000001),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,120,3256.8,90.0,23.78,2016,4,7,3
costco wholesale,west des moines,50266,POINT (-93.806489 41.561342),dallas,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,54,1465.56,40.5,10.69,2020,1,7,1
hy-vee,cedar rapids,52402,POINT (-91.658105 42.010971),linn,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,120,3255.6,90.0,23.78,2012,12,20,3
central city,des moines,50314,POINT (-93.613739 41.60572),polk,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2019,3,18,0
hy-vee,cedar falls,50613,POINT (-92.435236 42.512789),black hawk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,18,488.52,13.5,3.57,2014,3,19,2
fareway stores,waukee,50263,POINT (-93.86786 41.614033),dallas,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,5,0
kum & go,urbandale,50323,POINT (-93.833463 41.643162),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,4,3
wal-mart,grimes,50111,POINT (-93.771698 41.688332),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,12,3,0
hy-vee,des moines,50320,POINT (-93.596754 41.554101),polk,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2017,1,12,3
dahl's,des moines,50300,POINT (-93.663337 41.586313),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,18,488.52,13.5,3.57,2014,7,2,2
fareway stores,west des moines,50265,POINT (-93.70689 41.58269000000001),polk,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,120,3256.8,90.0,23.77,2018,10,4,3
kum & go,iowa city,52246,POINT (-91.574075 41.649946),johnson,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,23,1
hy-vee,lemars,51031,POINT (-96.18335000000002 42.778257),plymouth,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,26,0
wal-mart,davenport,52806,POINT (-90.620069 41.559268),scott,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,1,3
hy-vee,cedar falls,50613,POINT (-92.435236 42.512789),black hawk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,24,2
ryan's quick shop,newton,50208,POINT (-93.04551500000001 41.69943),jasper,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,18,488.34,13.5,3.57,2012,11,15,3
hy-vee,carroll,51401,POINT (-94.853591 42.064155),carroll,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2016,12,29,3
a j's liquor ii,ames,50010,POINT (-93.650838 42.021461),story,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,30,1
wilkie liquors,mt vernon,52314,POINT (-91.960918 41.994458),linn,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,18,488.34,13.5,3.57,2012,10,15,0
sam's club,windsor heights,50311,POINT (-93.718027 41.599172),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,60,1628.4,45.0,11.89,2016,4,26,1
sam's club,waterloo,50702,POINT (-92.353103 42.456374),black hawk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,29,0
costco wholesale,coralville,52241,POINT (-91.61494100000002 41.698028),johnson,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,60,1628.4,45.0,11.89,2014,3,20,3
wal-mart,davenport,52806,POINT (-90.620069 41.559268),scott,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,20,1
wal-mart,marshalltown,50158,POINT (-92.91231 42.012918),marshall,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,20,1
kum & go,stuart,50250,POINT (-94.318482 41.496773),adair,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,17,2
sam's club,ames,50010,POINT (-93.613648 42.001123),story,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,120,3255.6,90.0,23.78,2013,1,14,0
costco wholesale,coralville,52241,POINT (-91.61494100000002 41.698028),johnson,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,300,8142.0,225.0,59.44,2014,12,3,2
sam's club,waterloo,50702,POINT (-92.353103 42.456374),black hawk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,16,4
h and a mini mart,des moines,50321,POINT (-93.644946 41.531145),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,10,2
central city,des moines,50314,POINT (-93.613739 41.60572),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2015,7,16,3
fareway stores,north liberty,52317,POINT (-91.608385 41.741097),johnson,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2020,8,18,1
fareway stores,north liberty,52317,POINT (-91.608385 41.741097),johnson,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,10,2
hy-vee,urbandale,50322,POINT (-93.739105 41.629364),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2016,4,21,3
hy-vee,des moines,50320,POINT (-93.596754 41.554101),polk,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2017,9,14,3
costco wholesale,coralville,52241,POINT (-91.61494100000002 41.698028),johnson,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,420,11398.8,315.0,83.21,2017,9,12,1
costco wholesale,coralville,52241,POINT (-91.61494100000002 41.698028),johnson,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,60,1627.8,45.0,11.89,2012,12,10,0
hy-vee,johnston,50131,POINT (-93.697731 41.665172),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,60,1627.8,45.0,11.89,2013,2,12,1
hy-vee,johnston,50131,POINT (-93.697731 41.665172),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,60,1627.8,45.0,11.89,2012,12,18,1
kum & go,iowa city,52246,POINT (-91.574075 41.649946),johnson,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,2,1
wal-mart,marshalltown,50158,POINT (-92.91231 42.012918),marshall,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,120,3255.6,90.0,23.78,2012,12,6,3
indy 66 west,indianola,50125,POINT (-93.58762800000001 41.356153),warren,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,1,3
central city,des moines,50314,POINT (-93.613739 41.60572),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2014,2,20,3
hy-vee,des moines,50320,POINT (-93.596754 41.554101),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,264,7164.96,198.0,52.31,2014,3,6,3
central city,des moines,50314,POINT (-93.613739 41.60572),polk,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2020,5,14,3
okoboji avenue liquor,milford,51351,POINT (-95.149955 43.331525),dickinson,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,18,488.34,13.5,3.57,2013,5,21,1
target,fort dodge,50501,POINT (-94.157366 42.505335),webster,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,18,488.34,13.5,3.57,2012,11,14,2
sam's club,windsor heights,50311,POINT (-93.718027 41.599172),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,120,3255.6,90.0,23.78,2012,12,19,2
super saver iv,council bluffs,51503,POINT (-95.836515 41.270824),pottawattamie,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,17,5
hy-vee,west des moines,50266,POINT (-93.808855 41.598515),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,120,3256.8,90.0,23.78,2015,8,25,1
hy-vee,iowa city,52240,POINT (-91.53046300000001 41.642764),johnson,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2013,10,24,3
hy-vee,bettendorf,52722,POINT (-90.483701 41.552338),scott,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2015,4,8,2
casey's general store,winterset,50273,POINT (-94.013479 41.34362600000001),madison,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,18,488.34,13.5,3.57,2012,11,12,0
central city,des moines,50314,POINT (-93.613739 41.60572),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,30,814.2,22.5,5.94,2014,7,24,3
kum & go,ames,50014,POINT (-93.679803 42.01214),story,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,10,2,1
u s gas,des moines,50315,POINT (-93.625682 41.557862),polk,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,12,6,3
john's grocery,iowa city,52240,POINT (-91.529854 41.663541),johnson,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,18,488.52,13.5,3.57,2017,2,21,1
hy-vee,carroll,51401,POINT (-94.853591 42.064155),carroll,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.09,27.14,36,977.04,27.0,7.13,2014,7,17,3
fareway stores,manchester,52057,POINT (-91.457225 42.48217),delaware,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2013,1,21,0
hy-vee,marshalltown,50158,POINT (-92.912817 42.039205),marshall,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,8,3
hy-vee,des moines,50320,POINT (-93.596754 41.554101),polk,straight rye whiskies,infinium spirits,templeton 4yr rye,6,750,18.09,27.14,36,977.04,27.0,7.13,2017,3,9,3
hy-vee,mount ayr,50854,POINT (-94.233185 40.711775),ringgold,straight rye whiskies,wilson daniels ltd.,templeton rye,6,750,18.08,27.13,30,813.9,22.5,5.94,2012,11,12,0
hy-vee,waukee,50263,POINT (-93.854477 41.615059),dallas,straight rye whiskies,infinium spirits,templeton 6yr rye,6,750,22.75,34.13,72,2457.36,54.0,14.26,2020,10,8,3
john's grocery,iowa city,52240,POINT (-91.529854 41.663541),johnson,iowa distilleries,infinium spirits,templeton 6yr rye,6,750,22.75,34.13,18,614.34,13.5,3.57,2018,6,5,1
sam's club,windsor heights,50311,POINT (-93.718027 41.599172),polk,straight rye whiskies,infinium spirits,templeton 6yr rye,6,750,22.75,34.13,30,1023.9,22.5,5.94,2019,7,31,2
hy-vee,carroll,51401,POINT (-94.853591 42.064155),carroll,straight rye whiskies,infinium spirits,templeton 6yr rye,6,750,22.75,34.13,60,2047.8,45.0,11.88,2019,3,28,3
fareway stores,west des moines,50265,POINT (-93.70689 41.58269000000001),polk,iowa distilleries,infinium spirits,templeton 6yr rye,6,750,22.75,34.13,18,614.34,13.5,3.57,2018,6,14,3
sam's club,sioux city,51106,POINT (-96.37082 42.43407),woodbury,straight rye whiskies,infinium spirits,templeton 6yr rye,6,750,22.75,34.13,24,819.12,18.0,4.75,2019,7,29,0
sam's club,ames,50010,POINT (-93.613648 42.001123),story,iowa distilleries,infinium spirits,templeton 6yr rye,6,750,22.75,34.13,54,1843.02,40.5,10.69,2018,8,1,2
sam's club,ankeny,50021,POINT (-93.581273 41.691),polk,iowa distilleries,infinium spirits,templeton 6yr rye,6,750,22.75,34.13,18,614.34,13.5,3.56,2018,9,7,4
hy-vee,waukee,50263,POINT (-93.854477 41.615059),dallas,straight rye whiskies,infinium spirits,templeton 6yr rye,6,750,22.75,34.13,49,1672.37,36.75,9.7,2020,10,1,3
sam's club,sioux city,51106,POINT (-96.37082 42.43407),woodbury,straight rye whiskies,infinium spirits,templeton 6yr rye,6,750,22.75,34.13,18,614.34,13.5,3.56,2019,12,10,1
sam's club,sioux city,51106,POINT (-96.37082 42.43407),woodbury,straight rye whiskies,infinium spirits,templeton 6yr rye,6,750,22.75,34.13,18,614.34,13.5,3.56,2020,2,25,1
hy-vee,storm lake,50588,POINT (-95.200758 42.65318400000001),buena vist,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,6,189.0,6.0,1.58,2020,10,19,0
hy-vee,sioux city,51106,POINT (-96.346969 42.447396),woodbury,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,6,189.0,6.0,1.58,2020,10,6,1
hy-vee,mason city,50401,POINT (-93.17114 43.14623),cerro gord,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,6,189.0,6.0,1.58,2020,10,22,3
main street liquors,manning,51455,POINT (-95.065122 41.908573),carroll,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,6,189.0,6.0,1.58,2018,9,13,3
central city,des moines,50314,POINT (-93.619787 41.60566),polk,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,2,63.0,2.0,0.52,2020,8,7,4
liquor on the corner,cherokee,51012,POINT (-95.547298 42.749597),cherokee,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,2,63.0,2.0,0.52,2020,10,5,0
cork and bottle,oskaloosa,52577,POINT (-92.648153 41.296228),mahaska,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,2,63.0,2.0,0.52,2019,3,6,2
happy's wine & spirits,cedar falls,50613,POINT (-92.429331 42.512766),black hawk,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,6,189.0,6.0,1.58,2020,10,15,3
main street spirits,mapleton,51034,POINT (-95.79375 42.165915),monona,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,2,63.0,2.0,0.52,2019,11,5,1
riverside casino and resort,riverside,52327,POINT (-91.531499 41.496387000000006),washington,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,6,189.0,6.0,1.58,2018,10,22,0
main street liquors,manning,51455,POINT (-95.065122 41.908573),carroll,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,6,189.0,6.0,1.58,2019,7,2,1
central city,des moines,50314,POINT (-93.613739 41.60572),polk,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,6,189.0,6.0,1.58,2020,7,8,2
hy-vee,mason city,50401,POINT (-93.17114 43.14623),cerro gord,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,6,189.0,6.0,1.58,2018,8,30,3
tobacco shop,arnolds park,51331,POINT (-95.14027400000002 43.361577),dickinson,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,2,63.0,2.0,0.52,2018,10,10,2
hy-vee,cedar rapids,52402,POINT (-91.658105 42.010971),linn,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,6,189.0,6.0,1.58,2020,4,22,2
"spirits, stogies and stuff",holstein,51025,POINT (-95.544794 42.488704),ida,straight rye whiskies,infinium spirits,templeton 4yr rye,6,1000,21.0,31.5,2,63.0,2.0,0.52,2020,10,26,0
"iowa street market, inc.",dubuque,52001,POINT (-90.668138 42.504959),dubuque,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2019,7,1,0
wines and spirits,washington,52353,POINT (-91.692214 41.300399),washington,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,4,32.52,4.0,1.06,2014,11,7,4
ingersoll liquor and beverage,des moines,50312,POINT (-93.664182 41.586319),polk,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2020,2,6,3
"charlie's wine and spirits,",sioux city,51103,POINT (-96.420193 42.510535),woodbury,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,4,32.52,4.0,1.05,2019,7,30,1
stratford food center,stratford,50249,POINT (-93.92715 42.271302),hamilton,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,4,32.52,4.0,1.05,2019,11,1,4
hy-vee,burlington,52601,POINT (-91.136655 40.814666),des moines,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,7,56.91,7.0,1.84,2020,10,30,4
great pastimes,monticello,52310,POINT (-91.183413 42.24013200000001),jones,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2019,1,15,1
pit stop liquors,newton,50208,POINT (-93.035654 41.699173),jasper,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2018,9,13,3
fareway stores,sergeant bluff,51054,POINT (-96.353078 42.400504),woodbury,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2018,8,8,2
hy-vee,cedar rapids,52405,POINT (-91.697941 41.97447),linn,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.17,7.75,4,31.0,4.0,1.06,2013,9,5,3
fareway stores,creston,50801,POINT (-94.237509 40.715722),union,american sloe gins,luxco inc,paramount sloe gin,12,1000,4.9,7.36,4,29.44,4.0,1.06,2012,3,5,0
hy-vee,burlington,52601,POINT (-91.136655 40.814666),des moines,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,4,32.52,4.0,1.06,2015,11,2,0
ameristar casino,council bluffs,51501,POINT (-95.909384 41.242291),pottawatta,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2019,2,18,0
hy-vee,harlan,51537,POINT (-95.339881 41.650658),shelby,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2019,7,16,1
hy-vee,des moines,50317,POINT (-93.569452 41.627838),polk,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2020,10,22,3
hy-vee,marshalltown,50158,POINT (-92.912817 42.039205),marshall,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2019,1,31,3
fareway stores,storm lake,50588,POINT (-95.196856 42.646379),buena vist,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,4,32.52,4.0,1.06,2017,1,24,1
hy-vee,johnston,50131,POINT (-93.697731 41.665172),polk,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,8.13,2.0,0.52,2017,10,31,1
"spirits, stogies and stuff",holstein,51025,POINT (-95.544794 42.488704),ida,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.17,7.75,4,31.0,4.0,1.06,2013,3,6,2
sauce,iowa city,52240,POINT (-91.533522 41.658979),johnson,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.17,7.75,4,31.0,4.0,1.06,2012,8,16,3
hy-vee,clinton,52732,POINT (-90.193204 41.836268000000004),clinton,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,4,32.52,4.0,1.06,2018,1,17,2
hy-vee,storm lake,50588,POINT (-95.200758 42.65318400000001),buena vist,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2020,7,20,0
fareway stores,cherokee,51012,POINT (-95.551866 42.75508),cherokee,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2020,5,18,0
hy-vee,cedar falls,50613,POINT (-92.435236 42.512789),black hawk,american sloe gins,luxco inc,paramount sloe gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2018,10,2,1
hy-vee,des moines,50311,POINT (-93.673222 41.600361),polk,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.6,5,28.0,2.5,0.66,2015,6,25,3
smokin' joe's,fort madison,52627,POINT (-91.32982400000002 40.63021),lee,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.59,5,27.95,2.5,0.66,2014,6,9,0
tobacco shop,arnolds park,51331,POINT (-95.14027400000002 43.361577),dickinson,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.6,96,537.6,48.0,12.68,2015,5,12,1
smokin' joe's,des moines,50317,POINT (-93.562106 41.600564),polk,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.59,5,27.95,2.5,0.66,2014,6,18,2
smokin' joe's,cedar rapids,52402,POINT (-91.6537 41.987286),linn,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.59,5,27.95,2.5,0.66,2013,1,31,3
smokin' joe's,marion,52302,POINT (-91.605094 42.033366),linn,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.59,5,27.95,2.5,0.66,2013,1,17,3
kwik shop,glenwood,51534,POINT (-95.744909 41.050184),mills,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.6,8,44.8,4.0,1.06,2014,9,30,1
hy-vee,des moines,50311,POINT (-93.673222 41.600361),polk,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.6,5,28.0,2.5,0.66,2015,6,18,3
circle k,burlington,52601,POINT (-91.112268 40.80456),des moines,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.59,8,44.72,4.0,1.06,2012,5,22,1
the station,cedar rapids,52404,POINT (-91.747514 41.943626),linn,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,4.13,6.2,5,31.0,2.5,0.66,2016,1,20,2
kellogg country store,kellog,50136,POINT (-92.903113 41.7144),jasper,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.59,5,27.95,2.5,0.66,2012,4,5,3
north side liquor & grocery,mason city,50401,POINT (-93.201061 43.163663),cerro gordo,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.6,60,336.0,30.0,7.93,2015,2,19,3
dahl's,des moines,50310,POINT (-93.697647 41.63740800000001),polk,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.59,5,27.95,2.5,0.66,2014,1,21,1
hy-vee,cedar rapids,52402,POINT (-91.658105 42.010971),linn,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.6,5,28.0,2.5,0.66,2015,3,9,0
kellogg country store,kellog,50136,POINT (-92.903113 41.7144),jasper,100 proof vodka,luxco inc,hawkeye vodka 80 prf mini,12,500,3.73,5.59,8,44.72,4.0,1.06,2013,3,28,3
